# POST-HOC DIAGNOSTIC, not the gate. Arm: mixed (8 H + 8 Cl), seed 0x000000004d495801
  curve HH: 96 knots, n_det 4, route Determinant, 0.8 s, well Some((1.3886940180177756, 0.20414235210759035))
  curve HCl: 96 knots, n_det 100, route Determinant, 23.8 s, well Some((2.536888205469792, 0.14829317504643313))
  curve ClCl: 96 knots, n_det 324, route Determinant, 183.9 s, well Some((4.0241237935448035, 0.0645773850005753))
# k_B T_target = 9.500435e-4 Ha at T_target = 300 K; measured T = 199.4 K
#   R_e per pair type, from the curves themselves:
#     HH: R_e Some(1.3886940180177756)  D_e Some(0.20414235210759035)
#     HCl: R_e Some(2.536888205469792)  D_e Some(0.14829317504643313)
#     ClCl: R_e Some(4.0241237935448035)  D_e Some(0.0645773850005753)
i	j	pair	r_bohr	R_e	u_Ha	e_rel_Ha	depth/kT	bonded
10	13	HH	4.2608	1.3887	-6.7108e-3	-4.7409e-3	7.064	true
10	14	HCl	2.3557	2.5369	-1.4161e-1	-1.3947e-1	149.057	true
10	15	HH	1.3473	1.3887	-2.0371e-1	-2.0028e-1	214.425	true
11	13	ClH	2.6725	2.5369	-1.4550e-1	-1.4527e-1	153.154	true
11	14	ClCl	4.0250	4.0241	-6.4577e-2	-6.3466e-2	67.973	true
11	15	ClH	3.9107	2.5369	-4.7126e-2	-4.6176e-2	49.604	true
13	14	HCl	6.3527	2.5369	-5.0596e-4	-2.4721e-4	0.533	true
13	15	HH	5.3471	1.3887	-8.8554e-4	-6.5506e-4	0.932	true
14	15	ClH	2.3977	2.5369	-1.4451e-1	-1.4325e-1	152.106	true
# 74 bonded edges. 14 of them are shallower than k_B T_target          (18.9%), and 34 sit within 0.5 bohr of their own pair's R_e (45.9%).
# CLUSTER reading (boundness): largest component 16 of 16 atoms.
# CENSUS reading (closure): 7 live molecule rows, bond-sector energy -8.766493e-1 Ha.
# The two answer different questions and are expected to differ. Neither is the gate's reading, which is the frozen composition rule.
exit=0
