# P2 dE4 arm, FULL STRENGTH: exact-gradient four-body, first run at design strength
# launch 2026-09-01T16:12:06-05:00  HEAD=21e6be3  binary=/home/emoore/holon-artifacts/bin/waterquench_21e6be3
# binary_sha256=7790cf3d27899527792f335ada0f4aef7361a2f5b9ed1cf5c6a87506d6cd7697  build_exit=0 (clean worktree, private target)
# gates at this commit: de4_momentum 4/4 (momentum exact, control zero, torque, force-is-gradient)
# loadavg_start: 78.22 76.09 73.89 139/3511 4043634  clock_start_MHz: 2700
# curve H-H: 96 knots, R_e = 1.3887 bohr, D_e = 0.204142 Ha, worst residual 8.7e-11, 2.6 s
# curve O-H: 96 knots, R_e = 1.9909 bohr, D_e = 0.122901 Ha, worst residual 9.9e-11, 15.7 s
# WARNING O-O: worst residual 4.81e-6 exceeds CONVERGED_RESIDUAL 1e-9. Locate it before trusting anything this arm reports; see examples/s2_oo_residual.rs
# curve O-O: 96 knots, R_e = 2.4421 bohr, D_e = 0.147621 Ha, worst residual 4.8e-6, 1135.2 s
# arm = mixed (8 H + 4 O)   seeds = 1   12 atoms in 34.6 x 20.8 bohr
# 20000 boundaries x 64 substeps, dt = 1.0772 a.u. -> 33.35 ps
# T_init 3000 K, T_target 300 K, tau 2000
# setup 1158.5 s
  [0x0000000053415424] frame  1000/20000 | T  196 K | dE4 solves:    0 | drift: 3.00e-5 | time:   1.9 s
  [0x0000000053415424] frame  2000/20000 | T  235 K | dE4 solves:    0 | drift: 3.31e-5 | time:   4.8 s
  [0x0000000053415424] frame  3000/20000 | T  382 K | dE4 solves:    0 | drift: 3.35e-5 | time:   7.3 s
  [0x0000000053415424] frame  4000/20000 | T  572 K | dE4 solves:    0 | drift: 3.55e-5 | time:   8.8 s
  [0x0000000053415424] frame  5000/20000 | T  197 K | dE4 solves:    0 | drift: 3.89e-5 | time:  10.4 s
  [0x0000000053415424] frame  6000/20000 | T  260 K | dE4 solves:    0 | drift: 4.20e-5 | time:  12.5 s
  [0x0000000053415424] frame  7000/20000 | T  288 K | dE4 solves:   88 | drift: 9.08e-5 | time: 435.2 s
  [0x0000000053415424] frame  8000/20000 | T  323 K | dE4 solves:  129 | drift: 1.18e-4 | time: 646.3 s
  [0x0000000053415424] frame  9000/20000 | T  256 K | dE4 solves:  207 | drift: 1.42e-4 | time: 1028.0 s
  [0x0000000053415424] frame 10000/20000 | T  286 K | dE4 solves:  207 | drift: 1.44e-4 | time: 1031.2 s
  [0x0000000053415424] frame 11000/20000 | T  308 K | dE4 solves:  217 | drift: 1.41e-4 | time: 1076.5 s
  [0x0000000053415424] frame 12000/20000 | T  291 K | dE4 solves:  217 | drift: 1.41e-4 | time: 1078.1 s
  [0x0000000053415424] frame 13000/20000 | T  313 K | dE4 solves:  270 | drift: 1.25e-4 | time: 1354.4 s
  [0x0000000053415424] frame 14000/20000 | T  181 K | dE4 solves:  270 | drift: 1.34e-4 | time: 1358.6 s
  [0x0000000053415424] frame 15000/20000 | T  253 K | dE4 solves:  270 | drift: 1.34e-4 | time: 1362.5 s
  [0x0000000053415424] frame 16000/20000 | T  248 K | dE4 solves:  270 | drift: 1.35e-4 | time: 1368.1 s
  [0x0000000053415424] frame 17000/20000 | T  357 K | dE4 solves:  270 | drift: 1.35e-4 | time: 1375.3 s
  [0x0000000053415424] frame 18000/20000 | T  212 K | dE4 solves:  270 | drift: 1.29e-4 | time: 1378.3 s
  [0x0000000053415424] frame 19000/20000 | T  354 K | dE4 solves:  270 | drift: 1.34e-4 | time: 1381.5 s
  [0x0000000053415424] frame 20000/20000 | T  316 K | dE4 solves:  270 | drift: 1.30e-4 | time: 1385.6 s
seed 0x0000000053415424  dt 0.5386  modal-O O4H2  free O 0  free H 0  largest 6  molecules [H2 H2 H2 O4H2]  fenced 4  dE4_evals 270  drift 2.87e-4/1.57e1  |p| 5.10e-12/9.86e-8  T 316 K  1386 s

# ---- mixed (8 H + 4 O) ----
# seeds with the modal O-containing molecule = H2O : 0 / 1
# seeds with ZERO free oxygen                      : 1 / 1
# seeds with any molecule at all                   : 1 / 1
# worst drift / bound = 1.825e-5, worst |p| / bound = 5.170e-5
# fence incidence (triples refused for want of a table), per seed: [4]
# dE4 (O,H,H,H) ab-initio solves, per seed: [270]
# molecule census over all seeds: 3xH2  1xO4H2
# exit=0  end=2026-09-01T16:54:31-05:00  loadavg_end: 73.91 74.66 76.55 70/3203 4114523  clock_end_MHz: 2650
