# curve H-H: 96 knots, R_e = 1.3887 bohr, D_e = 0.204142 Ha, worst residual 8.7e-11, 7.0 s
# curve O-H: 96 knots, R_e = 1.9909 bohr, D_e = 0.122901 Ha, worst residual 9.9e-11, 19.8 s
# WARNING O-O: worst residual 2.68e-6 exceeds CONVERGED_RESIDUAL 1e-9.
# curve O-O: 96 knots, R_e = 2.4421 bohr, D_e = 0.147621 Ha, worst residual 2.7e-6, 2596.2 s
# arm = mixed (8 H + 4 O)   ozone = fenced   seeds = 8   12 atoms in 34.6 x 20.8 bohr
# 20000 boundaries x 64 substeps, dt = 1.0772 a.u. -> 33.35 ps
# T_init 3000 K, T_target 300 K, tau 2000
# trajectory dump: every grain boundary, to /tmp/claude-1000/-home-emoore-CIRISOntology/4cf4fa5c-aaa3-4173-83b9-978cb75c887f/scratchpad/traj/fenced
# setup 2635.9 s
  [0x0000000053415425] frame  6000/20000 | T  361 K | drift 7.72e-5 |  45.5 s
  [0x0000000053415425] frame  8000/20000 | T  370 K | drift 2.29e-4 |  93.3 s
  [0x0000000053415425] frame 10000/20000 | T  336 K | drift 2.25e-4 | 135.5 s
  [0x0000000053415425] frame 12000/20000 | T  339 K | drift 2.29e-4 | 222.4 s
  [0x0000000053415425] frame 14000/20000 | T  271 K | drift 2.34e-4 | 233.1 s
  [0x0000000053415425] frame 16000/20000 | T  303 K | drift 2.28e-4 | 238.6 s
  [0x0000000053415425] frame 18000/20000 | T  314 K | drift 2.37e-4 | 244.5 s
  [0x0000000053415425] frame 20000/20000 | T  297 K | drift 2.37e-4 | 276.1 s
seed 0x0000000053415425  dt 0.5386  modal-O  OH2  free O 0  free H 0  largest 5  molecules [H2 H2 OH2 O3H2]  fenced 4  drift 2.45e-4/1.33e1  |p| 5.60e-12/9.82e-8  T 297 K  276 s
# dumped 20000 frames to /tmp/claude-1000/-home-emoore-CIRISOntology/4cf4fa5c-aaa3-4173-83b9-978cb75c887f/scratchpad/traj/fenced/seed_0x0000000053415425.traj (12.3 MB)
  [0x0000000053415426] frame  2000/20000 | T  389 K | drift 7.41e-5 |  21.4 s
  [0x0000000053415426] frame  4000/20000 | T  260 K | drift 7.45e-5 |  43.3 s
  [0x0000000053415426] frame  6000/20000 | T  321 K | drift 5.38e-5 |  64.1 s
  [0x0000000053415426] frame  8000/20000 | T  242 K | drift 2.66e-5 | 100.8 s
  [0x0000000053415426] frame 10000/20000 | T  316 K | drift 1.44e-5 | 138.0 s
  [0x0000000053415426] frame 12000/20000 | T  306 K | drift 2.86e-5 | 167.2 s
  [0x0000000053415426] frame 14000/20000 | T  322 K | drift 6.62e-5 | 179.9 s
