resume: 146 m5 classes, 4 m6 classes, 4 already lifted to m7, 0 queued
2026-09-25T00:15:09Z t=6.50h | m5: 589 classes (35775 anneal hits, 22526597631 moves) | m6: 4 classes (0 from lifts of m5 [0 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 569 restarts, 1057454385 moves, 0 snaps, best residual 1.9793e-1 | v6: 21 members, 110 joins, 5289463690 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T00:45:09Z t=7.00h | m5: 617 classes (38719 anneal hits, 24315294118 moves) | m6: 4 classes (0 from lifts of m5 [0 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 611 restarts, 1135515135 moves, 0 snaps, best residual 1.9793e-1 | v6: 23 members, 132 joins, 5706191889 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T01:15:09Z t=7.50h | m5: 638 classes (41541 anneal hits, 26184742137 moves) | m6: 4 classes (0 from lifts of m5 [0 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 658 restarts, 1222873967 moves, 0 snaps, best residual 1.9793e-1 | v6: 23 members, 132 joins, 6143823947 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T01:45:09Z t=8.00h | m5: 665 classes (44657 anneal hits, 28182356678 moves) | m6: 4 classes (0 from lifts of m5 [0 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 707 restarts, 1313837895 moves, 0 snaps, best residual 1.9793e-1 | v6: 24 members, 144 joins, 6615187952 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T02:15:09Z t=8.50h | m5: 686 classes (47922 anneal hits, 30137869176 moves) | m6: 4 classes (0 from lifts of m5 [0 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 756 restarts, 1404883646 moves, 0 snaps, best residual 1.9793e-1 | v6: 26 members, 169 joins, 7075290024 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T02:45:09Z t=9.00h | m5: 712 classes (51171 anneal hits, 32162300617 moves) | m6: 4 classes (0 from lifts of m5 [0 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 808 restarts, 1501598595 moves, 0 snaps, best residual 1.9793e-1 | v6: 27 members, 182 joins, 7554621551 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T03:15:09Z t=9.50h | m5: 732 classes (54345 anneal hits, 34192966322 moves) | m6: 4 classes (0 from lifts of m5 [0 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 860 restarts, 1598346201 moves, 0 snaps, best residual 1.9793e-1 | v6: 27 members, 182 joins, 8038635225 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T03:45:09Z t=10.00h | m5: 749 classes (57583 anneal hits, 36223295455 moves) | m6: 4 classes (0 from lifts of m5 [0 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 912 restarts, 1694963747 moves, 0 snaps, best residual 1.9793e-1 | v6: 28 members, 195 joins, 8520145232 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T04:15:09Z t=10.50h | m5: 762 classes (60725 anneal hits, 38251999127 moves) | m6: 4 classes (0 from lifts of m5 [0 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 964 restarts, 1791540959 moves, 0 snaps, best residual 1.9793e-1 | v6: 28 members, 195 joins, 9000688819 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T04:45:09Z t=11.00h | m5: 787 classes (64063 anneal hits, 40283519600 moves) | m6: 4 classes (0 from lifts of m5 [0 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 1016 restarts, 1888037755 moves, 0 snaps, best residual 1.9793e-1 | v6: 29 members, 210 joins, 9482407532 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
